PartName,Series,OldDieSet,NewDieSet
206A,18023C,MF0002,H18023C01
206B,18023C,MF0002,H18023C01
207A,18023C,MF0002,H18023C01
207B,18023C,MF0002,H18023C01
209A,18023C,MF0002,H18023C01
209B,18023C,MF0002,H18023C01
210A,18023C,MF0002,H18023C01
211,18023C,MF0002,H18023C01
212A,18023C,MF0002,H18023C01
212B,18023C,MF0002,H18023C01
404,18023C,MF0002,H18023C01
405,18023C,MF0002,H18023C01
406,18023C,MF0002,H18023C01
205,13096B,MF00028,H13096B01
206,13096B,MF00028,H13096B01
303,13096B,MF00028,H13096B01
304,13096B,MF00028,H13096B01
103,18023E,MF0003,H18023E01
104A,18023E,MF0003,H18023E01
104B,18023E,MF0003,H18023E01
202,18023E,MF0003,H18023E01
204,18023E,MF0003,H18023E01
205,18023E,MF0003,H18023E01
206,18023E,MF0003,H18023E01
207A,18023E,MF0003,H18023E01
208,18023E,MF0003,H18023E01
209A,18023E,MF0003,H18023E01
209B,18023E,MF0003,H18023E01
404,18023E,MF0003,H18023E01
405,18023E,MF0003,H18023E01
406,18023E,MF0003,H18023E01
407,18023E,MF0003,H18023E01
102B,13080B-H5B,MF0009,H13080B02
109A,13080B-H5B,MF0009,H13080B02
109B,13080B-H5B,MF0009,H13080B02
111,13080B-H5B,MF0009,H13080B02
112,13080B-H5B,MF0009,H13080B02
113,13080B-H5B,MF0009,H13080B02
114,13080B-H5B,MF0009,H13080B02
116,13080B-H5B,MF0009,H13080B02
118,13080B-H5B,MF0009,H13080B02
119,13080B-H5B,MF0009,H13080B02
120,13080B-H5B,MF0009,H13080B02
121A,13080B-H5B,MF0009,H13080B02
121B,13080B-H5B,MF0009,H13080B02
126A,13080B-H5B,MF0009,H13080B02
131A,13080B-H5B,MF0009,H13080B02
131B,13080B-H5B,MF0009,H13080B02
132A,13080B-H5B,MF0009,H13080B02
132B,13080B-H5B,MF0009,H13080B02
404,13080B-H5B,MF0009,H13080B02
405,13080B-H5B,MF0009,H13080B02
406,13080B-H5B,MF0009,H13080B02
407,13080B-H5B,MF0009,H13080B02
408,13080B-H5B,MF0009,H13080B02
409,13080B-H5B,MF0009,H13080B02
107,13077B,MF00102,H13077B01
109B,13077B,MF00102,H13077B01
119A,13077B,MF00102,H13077B01
204B,13077B,MF00102,H13077B01
209,13077B,MF00102,H13077B01
210,13077B,MF00102,H13077B01
211,13077B,MF00102,H13077B01
301,13077B,MF00102,H13077B01
VOI PHUN,13077B,MF00102,H13077B01
122,10128S-H5A.F,MF00174,H10128S01
137,10128S-H5A.F,MF00174,H10128S01
215,10128S,MF00174,H10128S01
402,10128S-H5A.F,MF00174,H10128S01
403-1,10128S-H5A.F,MF00174,H10128S01
404,10128S-H5A.F,MF00174,H10128S01
511-1,10128E-H5A,MF00175,H10128E01
514-1A,10128E-H5A,MF00175,H10128E01
514-1B,10128E-H5A,MF00175,H10128E01
514-3,10128E-H5A,MF00175,H10128E01
515B,10128E-H5A,MF00175,H10128E01
601,10128E-H5A,MF00175,H10128E01
602,10128E-H5A,MF00175,H10128E01
604,10128E-H5A,MF00175,H10128E01
104A-1,10128B,MF00176,H10128B01
111B,10128B,MF00176,H10128B01
502,10128B,MF00176,H10128B01
VOI PHUN,10128B,MF00176,H10128B01
112-1,10128C,MF00177,H10128C01
112-2,10128C,MF00177,H10128C01
113A,10128C,MF00177,H10128C01
113B,10128C,MF00177,H10128C01
114A,10128C,MF00177,H10128C01
114B,10128C,MF00177,H10128C01
602,10128C,MF00177,H10128C01
603,10128C,MF00177,H10128C01
117-1,10128E-H5B,MF00178,H10128E02
117-2,10128E-H5B,MF00178,H10128E02
515-2,10128E-H5B,MF00178,H10128E02
522,10128E-H5B,MF00178,H10128E02
523,10128E-H5B,MF00178,H10128E02
601,10128E-H5B,MF00178,H10128E02
603,10128E-H5B,MF00178,H10128E02
604,10128E-H5B,MF00178,H10128E02
203A,9827S,MF00196,H9827B08
203B,9827S,MF00196,H9827B08
211A,9827S,MF00197,H9827S22
211B,9827S,MF00197,H9827S22
212,9827S,MF00197,H9827S22
404,9827S,MF00197,H9827S22
405,9827S,MF00197,H9827S22
101,10109S-E1A,MF00221,H10109S03
203,10109S-E1A,MF00221,H10109S03
204,10109S-E1A,MF00221,H10109S03
208-1,10109S-E1A,MF00221,H10109S03
208-2,10109S-E1A,MF00221,H10109S03
212,10109S-E1A,MF00221,H10109S03
404,10109S-E1A,MF00221,H10109S03
102,10141S,MF00307,H10141S01
102-1,10141S,MF00307,H10141S01
104,10141S,MF00307,H10141S01
105A,10141S,MF00307,H10141S01
105B,10141S,MF00307,H10141S01
106A,10141S,MF00307,H10141S01
106B,10141S,MF00307,H10141S01
133A,10141S,MF00307,H10141S01
206B,10141S,MF00307,H10141S01
207B,10141S,MF00307,H10141S01
208B,10141S,MF00307,H10141S01
213,10141S,MF00307,H10141S01
214,10141S,MF00307,H10141S01
215,10141S,MF00307,H10141S01
221,10141S,MF00307,H10141S01
222,10141S,MF00307,H10141S01
224,10141S,MF00307,H10141S01
606,10141S,MF00307,H10141S01
607,10141S,MF00307,H10141S01
108A,10141C,MF00308,H10141C01
108B,10141C,MF00308,H10141C01
204,10141C,MF00308,H10141C01
217B,10141C,MF00308,H10141C01
302B,10141C,MF00308,H10141C01
302C,10141C,MF00308,H10141C01
302D,10141C,MF00308,H10141C01
307A,10141C,MF00308,H10141C01
307B,10141C,MF00308,H10141C01
307C,10141C,MF00308,H10141C01
603,10141C,MF00308,H10141C01
604,10141C,MF00308,H10141C01
609,10141C,MF00308,H10141C01
113-1A,10110C,MF00319,H10110C02
113-1B,10110C,MF00319,H10110C02
513-1,10110C,MF00319,H10110C02
513-2,10110C,MF00319,H10110C02
601,10110C,MF00319,H10110C02
602,10110C,MF00319,H10110C02
118A,12003S,MF00321,H12003S04
119A,12003S,MF00321,H12003S04
119B,12003S,MF00321,H12003S04
120B,12003S,MF00321,H12003S04
122,12003S,MF00321,H12003S04
514-1,12003S,MF00321,H12003S04
515-1,12003S,MF00321,H12003S04
519-1,12003S,MF00321,H12003S04
519-2,12003S,MF00321,H12003S04
519-3,12003S,MF00321,H12003S04
526-1,12003S,MF00321,H12003S04
526-2,12003S,MF00321,H12003S04
701,12003S,MF00321,H12003S04
711A,12003S,MF00321,H12003S04
711B,12003S,MF00321,H12003S04
712A,12003S,MF00321,H12003S04
712B,12003S,MF00321,H12003S04
107A-1,10116B-H5B,MF00392,H10116B05
107A-2,10116B-H5B,MF00392,H10116B05
107B-1,10116B-H5B,MF00392,H10116B05
204,10116B-H5B,MF00392,H10116B05
205,10116B-H5B,MF00392,H10116B05
208,10116B-H5B,MF00392,H10116B05
210,10116B-H5B,MF00392,H10116B05
403,10116B-H5B,MF00392,H10116B05
202B,10109C-H5C,MF00488,MF00488
108-1,10128S-H5C,MF00521,H10128S02
117,10128S-H5C,MF00521,H10128S02
118,10128S-H5C,MF00521,H10128S02
215,10128S-H5C,MF00521,H10128S02
216,10128S-H5C,MF00521,H10128S02
217,10128S-H5C,MF00521,H10128S02
218,10128S-H5C,MF00521,H10128S02
220,10128S,MF00521,H10128S02
301,10128S-H5C,MF00521,H10128S02
302,10128S-H5C,MF00521,H10128S02
405A,10128S-H5C,MF00521,H10128S02
112,10109B-E1AA,MF00560,H10109B22
119,10109B-E1AA,MF00560,H10109B22
120,10109B-E1AA,MF00560,H10109B22
121,10109B-E1AA,MF00560,H10109B22
123,10109B-E1AA,MF00560,H10109B22
212,10109B-E1AA,MF00560,H10109B22
213,10109B-E1AA,MF00560,H10109B22
214,10109B-E1AA,MF00560,H10109B22
403,10109B-E1AA,MF00560,H10109B22
405,10109B-E1AA,MF00560,H10109B22
206,10128S-E1E,MF00606,0x2a
402,9707B,MF00629,H9707B07
403,9707B,MF00629,H9707B07
104,10106S-E1C,MF00805,H10106S03
106,10106S-E1C,MF00805,H10106S03
113A,10106S-E1C,MF00805,H10106S03
137,10106S-E1C,MF00805,H10106S03
139,10106S-E1C,MF00805,H10106S03
302B-40P,10106S,MF00805,H10106S03
401,10106S,MF00805,H10106S03
403,10106S,MF00805,H10106S03
218,13080B-H5B,MF00849,0x2a
201,10116B-H5B,MF00907,H10116B06
400,10109S-E1A,MF00909,H10109S17
402,10109S-E1A,MF00909,H10109S17
017D,9687S,MF00929,H9687S06
210,9687S,MF00929,H9687S06
109,10106B-E1J,MF00930,H10106B09
117,10106B-E1J,MF00930,H10106B09
129,10106B-E1J,MF00930,H10106B09
202,10106B-E1J,MF00930,H10106B09
206,10106B-E1J,MF00930,H10106B09
104A,10106B-E1L,MF00948,H10106B10
116,10106B-E1L,MF00948,H10106B10
117,10106B-E1L,MF00948,H10106B10
212B,10106B-E1L,MF00948,H10106B10
304-100P,10106B-E1L,MF00948,H10106B10
404,10106B-E1L,MF00948,H10106B10
504,9604S,YG001,H9604S01
505,9604S,YG001,H9604S01
506,9604S,YG001,H9604S01
12A,9604S,YG002,H9604S02
12B,9604S,YG002,H9604S02
44,9604S,YG002,H9604S02
44-1,9604S,YG002,H9604S02
B05B,9220A,YG06015,H9220A02
B13A,9220A,YG06015,H9220A02
B29A,9220A,YG06015,H9220A02
CR24B,9110S,YG08031,H9110S02
CR28A,9110S,YG08031,H9110S02
CR13C,9604S,YG08062,H9604S03
CF27A,9953B,YG09018,H9953B01
CF27B,9953B,YG09018,H9953B01
CF28A,9953B,YG09018,H9953B01
CF28B,9953B,YG09018,H9953B01
CR27A,9953B,YG09018,H9953B01
CR27B,9953B,YG09018,H9953B01
A18,11001S,YW003,H11001S02
B05-1,11001S,YW003,H11001S02
TS1,11001S,YW003,H11001S02
B05-1,11002S,YW004,H11002S02
B22,11002S,YW004,H11002S02
B23,11002S,YW004,H11002S02
B24,11002S,YW004,H11002S02
B25,11002S,YW004,H11002S02
A01A,11001B,YW005,H11001B02
A01B,11001B,YW005,H11001B02
A02-1,11001B,YW005,H11001B02
A02-2,11001B,YW005,H11001B02
A16,11001S,YW005,H11001B02
B04-5,11001B,YW005,H11001B02
B05-8,11001B,YW005,H11001B02
A01-1,11002B,YW006,H11002B02
A01-2,11002B,YW006,H11002B02
A02-1,11002B,YW006,H11002B02
A02-2,11002B,YW006,H11002B02
B01,11002B,YW006,H11002B02
B05-8,11002B,YW006,H11002B02
